run;Bo;Ca;Co;Cu;Fe;K;Mg;Mn;Mo;Na;Ni;Zn;BSC
9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.45
4;1;-1;-1;1;1;-1;1;1;-1;-1;-1;-1;21.43
18;1;1;-1;-1;1;1;-1;1;1;-1;-1;-1;21.08
13;1;1;1;-1;-1;1;1;-1;1;1;-1;-1;22.31
20;-1;-1;1;-1;1;-1;1;1;1;1;-1;-1;23.29
17;-1;1;1;-1;1;1;-1;-1;-1;-1;1;-1;28.78
14;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;27.08
16;-1;1;-1;1;1;1;1;-1;-1;1;1;-1;25.31
2;1;1;1;1;-1;-1;1;1;-1;1;1;-1;25.96
1;-1;-1;-1;1;-1;1;-1;1;1;1;1;-1;23.58
3;-1;-1;1;1;-1;1;1;-1;-1;-1;-1;1;24.21
12;-1;1;-1;1;-1;1;1;1;1;-1;-1;1;23.48
6;1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;28.96
5;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;24.19
11;1;-1;1;1;1;1;-1;-1;1;1;-1;1;24.72
10;1;-1;1;-1;1;1;1;1;-1;-1;1;1;36.02
8;1;1;-1;-1;-1;-1;1;-1;1;-1;1;1;32.75
7;-1;1;1;1;1;-1;-1;1;1;-1;1;1;31.73
19;1;-1;-1;-1;-1;1;-1;1;-1;1;1;1;33.1
15;-1;-1;-1;-1;1;-1;1;-1;1;1;1;1;33.27
