run;Temperatura;Maltodextrin;Velocidad;Fenolicos;Rendimiento;Humedad;Antocianina
1;55;15;1.25;83.02;33.06;10.14;76.22
2;75;15;1.25;78.85;35.59;5.87;16.98
3;55;25;1.25;59.74;25.67;10.07;82.51
4;75;25;1.25;65.56;49.55;5.72;23.01
5;55;20;1.2;68.56;31.73;10.2;80.09
6;75;20;1.2;72.93;56.41;6.21;23.13
7;55;20;1.3;95.38;33.62;9.82;74.68
8;75;20;1.3;79.76;52.63;5.68;37.52
9;65;15;1.2;87.04;38.84;8.91;73.94
10;65;25;1.2;66.37;48.5;8.78;80.09
11;65;15;1.3;88.34;45.44;8.6;82.43
12;65;25;1.3;73.07;52.16;8.51;82.35
13;65;20;1.25;82.51;51.1;8.7;92.52
14;65;20;1.25;74.33;48.65;8.63;89.95
15;65;20;1.25;78.52;48.91;8.74;91.31
