Tratamiento;temperatura;tiempo;ratio;fenolicos;temperatura;tiempo;ratio
1;60;50;50;163.67;1;1;1
2;60;50;30;146.27;1;1;-1
3;60;30;50;154.95;1;-1;1
4;60;30;30;135.24;1;-1;-1
5;40;50;50;153.47;-1;1;1
6;40;50;30;137.12;-1;1;-1
7;40;30;50;150.24;-1;-1;1
8;40;30;30;117.99;-1;-1;-1
9;66.8179;40;40;157.94;1.68179;0;0
10;33.1821;40;40;133.81;-1.68179;0;0
11;50;56.8179;40;147.55;0;1.68179;0
12;50;23.1821;40;134.42;0;-1.68179;0
13;50;40;56.8179;163.26;0;0;1.68179
14;50;40;23.1821;121.89;0;0;-1.68179
15;50;40;40;156.44;0;0;0
16;50;40;40;153.2;0;0;0
17;50;40;40;153.97;0;0;0
